team,conference,base_normalized,opponent_avg,final_score,raw_score,games_processed,wins,losses,rank
Maryland,Big Ten,0.125000,0.751823,0.500911,1.000000,8,4,4,83
Penn State,Big Ten,-0.125000,1.236719,0.493359,-1.000000,8,3,5,84
Wisconsin,Big Ten,-0.500000,1.650260,0.325130,-4.000000,8,2,6,85
Utah State,MW,0.250000,0.130642,0.315321,2.000000,8,4,4,86
Virginia Tech,ACC,-0.333333,1.261728,0.297531,-3.000000,9,3,6,87
Marshall,Sun Belt,0.125000,0.300260,0.275130,1.000000,8,4,4,88
Michigan State,Big Ten,-0.444444,1.409568,0.260340,-4.000000,9,3,6,89
Stanford,ACC,-0.333333,1.073688,0.203511,-3.000000,9,3,6,90
Kentucky,SEC,-0.250000,0.881250,0.190625,-2.000000,8,3,5,91
Georgia Southern,Sun Belt,-0.125000,0.567014,0.158507,-1.000000,8,3,5,92
Liberty,C-USA,0.125000,0.039670,0.144835,1.000000,8,4,4,93
Delaware,C-USA,0.125000,-0.068403,0.090799,1.000000,8,4,4,94
Florida Atlantic,AAC,-0.375000,0.831163,0.040582,-3.000000,8,3,5,95
Florida International,C-USA,-0.250000,0.516146,0.008073,-2.000000,8,3,5,96
Miami (OH),AAC,0.111111,-0.327731,-0.052755,1.000000,9,5,4,97
Syracuse,ACC,-0.444444,0.750617,-0.069136,-4.000000,9,3,6,98
Arkansas,SEC,-0.777778,1.291358,-0.132099,-7.000000,9,2,7,99
Hawai'i,MW,0.111111,-0.608410,-0.193094,1.000000,9,6,3,100
UCF,Big 12,-0.250000,0.110937,-0.194531,-2.000000,8,4,4,101
Arkansas State,Sun Belt,-0.222222,-0.085725,-0.265085,-2.000000,9,5,4,102
Oregon State,Pac-12,-0.888889,1.243596,-0.267091,-8.000000,9,2,7,103
App State,Sun Belt,-0.375000,0.178906,-0.285547,-3.000000,8,4,4,104
Bowling Green,AAC,-0.555556,0.402546,-0.354282,-5.000000,9,3,6,105
Toledo,AAC,-0.111111,-0.525494,-0.373858,-1.000000,9,5,4,106
Purdue,Big Ten,-1.111111,1.389506,-0.416358,-10.000000,9,2,7,107
Clemson,ACC,-0.750000,0.518750,-0.490625,-6.000000,8,3,5,108
San José State,MW,-0.625000,0.183507,-0.533247,-5.000000,8,3,5,109
Texas State,Sun Belt,-0.750000,0.347569,-0.576215,-6.000000,8,3,5,110
Wyoming,MW,-0.666667,0.160077,-0.586628,-6.000000,9,4,5,111
Central Michigan,AAC,-0.333333,-0.522793,-0.594730,-3.000000,9,5,4,112
Jacksonville State,C-USA,-0.250000,-0.836198,-0.668099,-2.000000,8,5,3,113
UL Monroe,Sun Belt,-0.888889,0.420833,-0.678472,-8.000000,9,3,6,114
North Carolina,ACC,-0.875000,0.244705,-0.752648,-7.000000,8,3,5,115
Air Force,MW,-1.125000,0.505816,-0.872092,-9.000000,8,2,6,116
Tulsa,AAC,-1.250000,0.670660,-0.914670,-10.000000,8,2,6,117
Ball State,AAC,-0.888889,-0.279815,-1.028796,-8.000000,9,4,5,118
Colorado State,MW,-1.375000,0.673611,-1.038194,-11.000000,8,2,6,119
Louisiana,Sun Belt,-1.222222,0.054938,-1.194753,-11.000000,9,3,6,120
Buffalo,AAC,-0.777778,-1.039074,-1.297315,-7.000000,9,5,4,121
Akron,AAC,-1.100000,-0.409306,-1.304653,-11.000000,10,4,6,122
New Mexico State,C-USA,-1.375000,-0.220139,-1.485069,-11.000000,8,3,5,123
Oklahoma State,Big 12,-2.111111,1.237191,-1.492515,-19.000000,9,1,8,124
Kent State,AAC,-1.555556,0.012346,-1.549383,-14.000000,9,3,6,125
Charlotte,AAC,-2.125000,0.936111,-1.656944,-17.000000,8,1,7,126
UTEP,C-USA,-2.125000,0.069792,-2.090104,-17.000000,8,2,6,127
South Alabama,Sun Belt,-2.222222,0.188812,-2.127816,-20.000000,9,2,7,128
Nevada,MW,-2.375000,0.447049,-2.151476,-19.000000,8,1,7,129
Georgia State,Sun Belt,-2.625000,0.496701,-2.376649,-21.000000,8,1,7,130
Northern Illinois,AAC,-2.444444,-0.181559,-2.535224,-22.000000,9,2,7,131
Boston College,ACC,-3.111111,0.485802,-2.868210,-28.000000,9,1,8,132
Sam Houston,C-USA,-3.250000,0.279861,-3.110069,-26.000000,8,0,8,133
Middle Tennessee,C-USA,-3.125000,0.015017,-3.117491,-25.000000,8,1,7,134
Eastern Michigan,AAC,-2.888889,-0.586883,-3.182330,-26.000000,9,2,7,135
Massachusetts,AAC,-4.333333,-0.134136,-4.400401,-39.000000,9,0,9,136
