team,normalized_score,raw_score,games_processed,wins,losses
Buffalo State,-2.375,-19.0,8,1,7
Greensboro College,-2.375,-19.0,8,1,7
Saint Vincent,-2.375,-19.0,8,2,6
Eureka College,-2.375,-19.0,8,2,6
Nevada,-2.375,-19.0,8,1,7
Northern Illinois,-2.375,-19.0,8,2,6
Hamilton,-2.375,-19.0,8,1,7
American International,-2.375,-19.0,8,1,7
Knox College,-2.4285714285714284,-17.0,7,2,5
Western New Mexico,-2.4444444444444446,-22.0,9,2,7
Morgan State,-2.4444444444444446,-22.0,9,3,6
Lincoln (MO),-2.4444444444444446,-22.0,9,2,7
William Jewell,-2.4444444444444446,-22.0,9,2,7
Black Hills State,-2.4444444444444446,-22.0,9,1,8
Little Rock,-2.5,-5.0,2,0,0
Thiel,-2.5,-20.0,8,1,7
McNeese,-2.5555555555555554,-23.0,9,3,6
Utah Tech,-2.5555555555555554,-23.0,9,2,7
Campbell,-2.5555555555555554,-23.0,9,2,7
Robert Morris,-2.5555555555555554,-23.0,9,3,6
Bryant,-2.5555555555555554,-23.0,9,2,7
Tennessee State,-2.5555555555555554,-23.0,9,2,7
North Alabama,-2.5555555555555554,-23.0,9,2,7
Gallaudet,-2.625,-21.0,8,1,7
Grinnell,-2.625,-21.0,8,1,7
Roosevelt,-2.625,-21.0,8,1,7
Juniata College,-2.625,-21.0,8,2,6
Gettysburg,-2.625,-21.0,8,0,8
Anderson (IN),-2.625,-21.0,8,1,7
Georgia State,-2.625,-21.0,8,1,7
Kenyon,-2.625,-21.0,8,1,7
Methodist,-2.625,-21.0,8,1,7
UAlbany,-2.6666666666666665,-24.0,9,1,8
Concordia University St Paul,-2.6666666666666665,-24.0,9,1,8
Portland State,-2.6666666666666665,-24.0,9,1,8
Otterbein,-2.75,-22.0,8,1,7
Maine Maritime,-2.75,-22.0,8,0,8
Hiram College,-2.75,-22.0,8,3,5
Holy Cross,-2.7777777777777777,-25.0,9,1,8
Western Illinois,-2.7777777777777777,-25.0,9,2,7
Kentucky Wesleyan,-2.7777777777777777,-25.0,9,0,9
Valparaiso,-2.7777777777777777,-25.0,9,1,8
Alcorn State,-2.7777777777777777,-25.0,9,3,6
Hampton,-2.7777777777777777,-25.0,9,2,7
La Verne,-2.857142857142857,-20.0,7,1,6
UVA Wise,-2.875,-23.0,8,1,7
Moravian,-2.875,-23.0,8,1,7
West Liberty,-2.888888888888889,-26.0,9,2,7
Southern,-2.888888888888889,-26.0,9,1,8
North Carolina A&T,-2.888888888888889,-26.0,9,2,7
Northwestern Oklahoma State,-2.888888888888889,-26.0,9,1,8
Eastern Michigan,-2.888888888888889,-26.0,9,2,7
Langston University,-3.0,-6.0,2,0,0
Texas Wesleyan,-3.0,-6.0,2,0,0
CENTENARY,-3.0,-21.0,7,1,6
Elmhurst,-3.0,-24.0,8,1,7
Fordham,-3.0,-27.0,9,1,8
Reading,-3.0,-24.0,8,0,8
Minot State,-3.0,-27.0,9,2,7
Pace,-3.0,-27.0,9,1,8
Louisiana College,-3.0,-6.0,2,0,0
Bethel University Tennessee,-3.0,-3.0,1,0,0
Davidson,-3.111111111111111,-28.0,9,1,8
Boston College,-3.111111111111111,-28.0,9,1,8
ERSKINE,-3.111111111111111,-28.0,9,1,8
Bloomsburg,-3.111111111111111,-28.0,9,2,7
Thomas More College,-3.111111111111111,-28.0,9,0,9
Middle Tennessee,-3.125,-25.0,8,1,7
SUNY Morrisville,-3.125,-25.0,8,0,8
Northwestern State,-3.2222222222222223,-29.0,9,1,8
Greeneville,-3.25,-26.0,8,1,7
New England College,-3.25,-26.0,8,0,0
Averett,-3.25,-26.0,8,0,8
Norwich,-3.25,-26.0,8,1,7
Sam Houston,-3.25,-26.0,8,0,8
Puget Sound,-3.25,-26.0,8,1,7
Houston Christian,-3.3333333333333335,-30.0,9,2,7
Samford,-3.3333333333333335,-30.0,9,1,8
Shorter,-3.3333333333333335,-30.0,9,2,7
Southern Nazarene,-3.3333333333333335,-30.0,9,1,8
Fort Lewis,-3.3333333333333335,-30.0,9,2,7
FDU-Florham,-3.375,-27.0,8,0,8
Lawrence University,-3.4285714285714284,-24.0,7,0,7
Adams State,-3.4444444444444446,-31.0,9,0,9
Rockford,-3.4444444444444446,-31.0,9,1,8
VMI,-3.4444444444444446,-31.0,9,1,8
Jamestown College,-3.5,-28.0,8,1,7
Norfolk State,-3.5555555555555554,-32.0,9,1,8
Austin,-3.5714285714285716,-25.0,7,1,6
Oberlin,-3.625,-29.0,8,0,8
Luther,-3.625,-29.0,8,0,8
Murray State,-3.6666666666666665,-33.0,9,0,9
Mississippi Valley State,-3.75,-30.0,8,1,7
Manchester,-3.875,-31.0,8,0,8
Dean College,-3.875,-31.0,8,0,8
Hilbert College,-3.875,-31.0,8,0,8
Millersville,-3.888888888888889,-35.0,9,0,9
Oklahoma Panhandle St,-4.0,-4.0,1,0,1
Simpson University (Ca),-4.0,-4.0,1,0,0
Willamette,-4.125,-33.0,8,1,7
Beloit,-4.125,-33.0,8,1,7
West Virginia Wesleyan,-4.2,-42.0,10,0,10
Massachusetts,-4.222222222222222,-38.0,9,0,9
Apprentice School,-4.333333333333333,-13.0,3,0,3
Lincoln (PA),-4.333333333333333,-39.0,9,0,9
Bethany (WV),-4.375,-35.0,8,0,8
St. Francis (PA),-4.625,-37.0,8,0,8
Sul Ross State,-4.625,-37.0,8,0,9
Central Methodist,-5.0,-5.0,1,0,0
Midland Lutheran College,-5.0,-5.0,1,0,0
Virginia University Of Lynchburg,-5.0,-30.0,6,0,0
Lincoln (CA),-5.375,-43.0,8,0,8
Lane College,-5.444444444444445,-49.0,9,0,9
Warner University,-6.0,-6.0,1,0,0
Florida Memorial University,-7.0,-7.0,1,0,0
Phoenix,-7.0,-7.0,1,0,0
