team,normalized_score,raw_score,fbs_games_processed,wins,losses,conference,mascot
North Carolina,-2.2399999999999998,-22.4,10,4,7,ACC,Tar Heels
New Mexico State,-2.32,-23.2,10,4,7,C-USA,Aggies
Liberty,-2.34,-23.4,10,4,7,C-USA,Flames
South Alabama,-2.34,-23.4,10,4,7,Sun Belt,Jaguars
Air Force,-2.38,-23.8,10,3,8,MW,Falcons
Kent State,-2.46,-24.6,10,4,7,MAC,Golden Flashes
Arkansas,-2.5,-25.0,10,2,9,SEC,Razorbacks
Tulsa,-2.58,-25.8,10,4,7,AAC,Golden Hurricane
Michigan State,-2.62,-26.2,10,3,8,Big Ten,Spartans
Purdue,-2.7600000000000002,-27.6,10,2,9,Big Ten,Boilermakers
Wyoming,-2.8,-28.0,10,4,7,MW,Cowboys
Eastern Michigan,-2.854545454545455,-31.400000000000006,11,4,8,MAC,Eagles
Akron,-2.9454545454545453,-32.4,11,5,7,MAC,Zips
UL Monroe,-3.18,-31.8,10,3,8,Sun Belt,Warhawks
Colorado State,-3.18,-31.8,10,2,9,MW,Rams
Nevada,-3.1800000000000006,-31.800000000000004,10,3,8,MW,Wolf Pack
Ball State,-3.2400000000000007,-32.400000000000006,10,4,7,MAC,Cardinals
Bowling Green,-3.4,-37.4,11,4,8,MAC,Falcons
San José State,-3.5,-35.0,10,3,8,MW,Spartans
Oregon State,-3.6,-36.0,10,2,9,Pac-12,Beavers
Northern Illinois,-3.7600000000000002,-37.6,10,3,8,MAC,Huskies
Sam Houston,-3.8,-41.8,11,2,9,C-USA,Bearkats
Middle Tennessee,-4.0,-40.0,10,2,9,C-USA,Blue Raiders
Georgia State,-4.1,-41.0,10,1,10,Sun Belt,Panthers
Boston College,-4.2,-42.0,10,1,10,ACC,Eagles
Oklahoma State,-4.3,-43.0,10,1,10,Big 12,Cowboys
Charlotte,-4.4,-44.0,10,1,10,AAC,49ers
UTEP,-4.4799999999999995,-44.8,10,2,9,C-USA,Miners
Massachusetts,-6.454545454545454,-71.0,11,0,12,MAC,Minutemen
